id;genero;id_classe;categoria;nome_categoria;peso_min;peso_max;idade_min;idade_max;descricao;ativo
1;MASCULINO;SUB 5;SUPERLIGEIRO;SUB 5 MASCULINO SUPERLIGEIRO (-18 kg);0.00;18.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
2;MASCULINO;SUB 5;LIGEIRO;SUB 5 MASCULINO LIGEIRO (-20 kg);18.01;20.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
3;MASCULINO;SUB 5;MEIO LEVE;SUB 5 MASCULINO MEIO LEVE (-22 kg);20.01;22.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
4;MASCULINO;SUB 5;LEVE;SUB 5 MASCULINO LEVE (-24 kg);22.01;24.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
5;MASCULINO;SUB 5;MEIO-MÉDIO;SUB 5 MASCULINO MEIO-MÉDIO (-26 kg);24.01;26.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
6;MASCULINO;SUB 5;MÉDIO;SUB 5 MASCULINO MÉDIO (-28 kg);26.01;28.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
7;MASCULINO;SUB 5;MEIO-PESADO;SUB 5 MASCULINO MEIO-PESADO (-30 kg);28.01;30.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
8;MASCULINO;SUB 5;PESADO;SUB 5 MASCULINO PESADO (+30 kg);30.01;;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
9;MASCULINO;SUB 5;SUPERPESADO;SUB 5 MASCULINO SUPERPESADO;;;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
10;FEMININO;SUB 5;SUPER LIGEIRO;SUB 5 FEMININO SUPER LIGEIRO (-18 kg);0.00;18.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
11;FEMININO;SUB 5;LIGEIRO;SUB 5 FEMININO LIGEIRO (-20 kg);18.01;20.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
12;FEMININO;SUB 5;MEIO LEVE;SUB 5 FEMININO MEIO LEVE (-22 kg);20.01;22.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
13;FEMININO;SUB 5;LEVE;SUB 5 FEMININO LEVE (-24 kg);22.01;24.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
14;FEMININO;SUB 5;MEIO-MÉDIO;SUB 5 FEMININO MEIO-MÉDIO (-26 kg);24.01;26.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
15;FEMININO;SUB 5;MÉDIO;SUB 5 FEMININO MÉDIO (-28 kg);26.01;28.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
16;FEMININO;SUB 5;MEIO PESADO;SUB 5 FEMININO MEIO PESADO (-30 kg);28.01;30.00;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
17;FEMININO;SUB 5;PESADO;SUB 5 FEMININO PESADO (+30 kg);30.01;;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
18;FEMININO;SUB 5;SUPER PESADO;SUB 5 FEMININO SUPER PESADO;;;3;4;Atletas que completam 3 ou 4 anos no ano vigente. (Menores de 5 anos);1
19;MASCULINO;SUB 7;SUPERLIGEIRO;SUB 7 MASCULINO SUPERLIGEIRO (-22 kg);0.00;22.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
20;MASCULINO;SUB 7;LIGEIRO;SUB 7 MASCULINO LIGEIRO (-24 kg);22.01;24.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
21;MASCULINO;SUB 7;MEIO LEVE;SUB 7 MASCULINO MEIO LEVE (-26 kg);24.01;26.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
22;MASCULINO;SUB 7;LEVE;SUB 7 MASCULINO LEVE (-28 kg);26.01;28.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
23;MASCULINO;SUB 7;MEIO-MÉDIO;SUB 7 MASCULINO MEIO-MÉDIO (-30 kg);28.01;30.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
24;MASCULINO;SUB 7;MÉDIO;SUB 7 MASCULINO MÉDIO (-32 kg);30.01;32.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
25;MASCULINO;SUB 7;MEIO-PESADO;SUB 7 MASCULINO MEIO-PESADO (-35 kg);32.01;35.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
26;MASCULINO;SUB 7;PESADO;SUB 7 MASCULINO PESADO (+35 kg);35.01;;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
27;MASCULINO;SUB 7;SUPERPESADO;SUB 7 MASCULINO SUPERPESADO;;;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
28;FEMININO;SUB 7;SUPER LIGEIRO;SUB 7 FEMININO SUPER LIGEIRO (-22 kg);0.00;22.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
29;FEMININO;SUB 7;LIGEIRO;SUB 7 FEMININO LIGEIRO (-24 kg);22.01;24.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
30;FEMININO;SUB 7;MEIO LEVE;SUB 7 FEMININO MEIO LEVE (-26 kg);24.01;26.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
31;FEMININO;SUB 7;LEVE;SUB 7 FEMININO LEVE (-28 kg);26.01;28.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
32;FEMININO;SUB 7;MEIO-MÉDIO;SUB 7 FEMININO MEIO-MÉDIO (-30 kg);28.01;30.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
33;FEMININO;SUB 7;MÉDIO;SUB 7 FEMININO MÉDIO (-32 kg);30.01;32.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
34;FEMININO;SUB 7;MEIO PESADO;SUB 7 FEMININO MEIO PESADO (-35 kg);32.01;35.00;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
35;FEMININO;SUB 7;PESADO;SUB 7 FEMININO PESADO (+35 kg);35.01;;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
36;FEMININO;SUB 7;SUPER PESADO;SUB 7 FEMININO SUPER PESADO;;;5;6;Atletas que completam 5 ou 6 anos no ano vigente. (Menores de 7 anos);1
37;MASCULINO;SUB 9;SUPERLIGEIRO;SUB 9 MASCULINO SUPERLIGEIRO (-28 kg);0.00;28.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
38;MASCULINO;SUB 9;LIGEIRO;SUB 9 MASCULINO LIGEIRO (-30 kg);28.01;30.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
39;MASCULINO;SUB 9;MEIO LEVE;SUB 9 MASCULINO MEIO LEVE (-33 kg);30.01;33.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
40;MASCULINO;SUB 9;LEVE;SUB 9 MASCULINO LEVE (-36 kg);33.01;36.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
41;MASCULINO;SUB 9;MEIO-MÉDIO;SUB 9 MASCULINO MEIO-MÉDIO (-40 kg);36.01;40.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
42;MASCULINO;SUB 9;MÉDIO;SUB 9 MASCULINO MÉDIO (-45 kg);40.01;45.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
43;MASCULINO;SUB 9;MEIO-PESADO;SUB 9 MASCULINO MEIO-PESADO (-50 kg);45.01;50.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
44;MASCULINO;SUB 9;PESADO;SUB 9 MASCULINO PESADO (+50 kg);50.01;;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
45;MASCULINO;SUB 9;SUPERPESADO;SUB 9 MASCULINO SUPERPESADO;;;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
46;FEMININO;SUB 9;SUPER LIGEIRO;SUB 9 FEMININO SUPER LIGEIRO (-28 kg);0.00;28.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
47;FEMININO;SUB 9;LIGEIRO;SUB 9 FEMININO LIGEIRO (-30 kg);28.01;30.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
48;FEMININO;SUB 9;MEIO LEVE;SUB 9 FEMININO MEIO LEVE (-33 kg);30.01;33.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
49;FEMININO;SUB 9;LEVE;SUB 9 FEMININO LEVE (-36 kg);33.01;36.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
50;FEMININO;SUB 9;MEIO-MÉDIO;SUB 9 FEMININO MEIO-MÉDIO (-40 kg);36.01;40.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
51;FEMININO;SUB 9;MÉDIO;SUB 9 FEMININO MÉDIO (-45 kg);40.01;45.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
52;FEMININO;SUB 9;MEIO PESADO;SUB 9 FEMININO MEIO PESADO (-50 kg);45.01;50.00;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
53;FEMININO;SUB 9;PESADO;SUB 9 FEMININO PESADO (+50 kg);50.01;;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
54;FEMININO;SUB 9;SUPER PESADO;SUB 9 FEMININO SUPER PESADO;;;7;8;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
55;MASCULINO;SUB 11;SUPERLIGEIRO;SUB 11 MASCULINO SUPERLIGEIRO (-28 kg);0.00;28.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
56;MASCULINO;SUB 11;LIGEIRO;SUB 11 MASCULINO LIGEIRO (-30 kg);28.01;30.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
57;MASCULINO;SUB 11;MEIO LEVE;SUB 11 MASCULINO MEIO LEVE (-33 kg);30.01;33.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
58;MASCULINO;SUB 11;LEVE;SUB 11 MASCULINO LEVE (-36 kg);33.01;36.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
59;MASCULINO;SUB 11;MEIO-MÉDIO;SUB 11 MASCULINO MEIO-MÉDIO (-40 kg);36.01;40.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
60;MASCULINO;SUB 11;MÉDIO;SUB 11 MASCULINO MÉDIO (-45 kg);40.01;45.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
61;MASCULINO;SUB 11;MEIO-PESADO;SUB 11 MASCULINO MEIO-PESADO (-50 kg);45.01;50.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
62;MASCULINO;SUB 11;PESADO;SUB 11 MASCULINO PESADO (+50 kg);50.01;;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
63;MASCULINO;SUB 11;SUPERPESADO;SUB 11 MASCULINO SUPERPESADO;;;9;10;;1
64;FEMININO;SUB 11;SUPER LIGEIRO;SUB 11 FEMININO SUPER LIGEIRO (-28 kg);0.00;28.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
65;FEMININO;SUB 11;LIGEIRO;SUB 11 FEMININO LIGEIRO (-30 kg);28.01;30.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
66;FEMININO;SUB 11;MEIO LEVE;SUB 11 FEMININO MEIO LEVE (-33 kg);30.01;33.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
67;FEMININO;SUB 11;LEVE;SUB 11 FEMININO LEVE (-36 kg);33.01;36.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
68;FEMININO;SUB 11;MEIO-MÉDIO;SUB 11 FEMININO MEIO-MÉDIO (-40 kg);36.01;40.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
69;FEMININO;SUB 11;MÉDIO;SUB 11 FEMININO MÉDIO (-45 kg);40.01;45.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
70;FEMININO;SUB 11;MEIO PESADO;SUB 11 FEMININO MEIO PESADO (-50 kg);45.01;50.00;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
71;FEMININO;SUB 11;PESADO;SUB 11 FEMININO PESADO (+50 kg);50.01;;9;10;Atletas que completam 9 ou 10 anos no ano vigente. (Menores de 11 anos);1
72;FEMININO;SUB 11;SUPER PESADO;SUB 11 FEMININO SUPER PESADO;;;9;10;;1
73;MASCULINO;SUB 13;SUPERLIGEIRO;SUB 13 MASCULINO SUPERLIGEIRO (-35 kg);0.00;35.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
74;MASCULINO;SUB 13;LIGEIRO;SUB 13 MASCULINO LIGEIRO (-40 kg);35.01;40.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
75;MASCULINO;SUB 13;LEVE;SUB 13 MASCULINO LEVE (-45 kg);40.01;45.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
76;MASCULINO;SUB 13;LEVE;SUB 13 MASCULINO LEVE (-50 kg);45.01;50.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
77;MASCULINO;SUB 13;MEIO-MÉDIO;SUB 13 MASCULINO MEIO-MÉDIO (-55 kg);50.01;55.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
78;MASCULINO;SUB 13;MÉDIO;SUB 13 MASCULINO MÉDIO (-60 kg);55.01;60.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
79;MASCULINO;SUB 13;MEIO-PESADO;SUB 13 MASCULINO MEIO-PESADO (-66 kg);60.01;66.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
80;MASCULINO;SUB 13;PESADO;SUB 13 MASCULINO PESADO (-73 kg);66.01;73.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
81;MASCULINO;SUB 13;SUPERPESADO;SUB 13 MASCULINO SUPERPESADO (+73 kg);73.01;;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
82;FEMININO;SUB 13;SUPER LIGEIRO;SUB 13 FEMININO SUPER LIGEIRO (-32 kg);0.00;32.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
83;FEMININO;SUB 13;LIGEIRO;SUB 13 FEMININO LIGEIRO (-40 kg);35.01;40.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
84;FEMININO;SUB 13;MEIO LEVE;SUB 13 FEMININO MEIO LEVE (-45 kg);40.01;45.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
85;FEMININO;SUB 13;LEVE;SUB 13 FEMININO LEVE (-50 kg);45.01;50.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
86;FEMININO;SUB 13;MEIO-MÉDIO;SUB 13 FEMININO MEIO-MÉDIO (-55 kg);50.01;55.00;11;12;Atletas que completam 11 ou 12 anos no ano vigente. (Menores de 13 anos);1
